Datenqualität;!ungeprüfte Rohdaten!;;
Stationsname;Thebnerstraßl;;
Stationsnummer;207407;;
Parameter;DurchflussPrognose;;
Zeitreihenname;Wahrscheinlichste Prognose;Vertrauensbreich;Vertrauensbreich
von;2022-04-15 18:00:00;;
bis;2022-04-16 01:00:00;;
Einheit;m³/s;;
;;;
Datum;Mittel;Min;Max
2022-04-15 18:00:00;1980;1980;1980
2022-04-15 18:15:00;1980;1980;1980
2022-04-15 18:30:00;1990;1990;1990
2022-04-15 18:45:00;1990;1990;1990
2022-04-15 19:00:00;1990;1990;1990
2022-04-15 19:15:00;2000;2000;2000
2022-04-15 19:30:00;2000;2000;2000
2022-04-15 19:45:00;2000;2000;2000
2022-04-15 20:00:00;2000;2000;2000
2022-04-15 20:15:00;2010;2010;2010
2022-04-15 20:30:00;2010;2010;2010
2022-04-15 20:45:00;2010;2010;2010
2022-04-15 21:00:00;2010;2010;2010
2022-04-15 21:15:00;2020;2020;2020
2022-04-15 21:30:00;2020;2020;2020
2022-04-15 21:45:00;2020;2020;2020
2022-04-15 22:00:00;2020;2020;2020
2022-04-15 22:15:00;2030;2030;2030
2022-04-15 22:30:00;2030;2030;2030
2022-04-15 22:45:00;2030;2030;2030
2022-04-15 23:00:00;2030;2030;2030
2022-04-15 23:15:00;2040;2040;2040
2022-04-15 23:30:00;2040;2040;2040
2022-04-15 23:45:00;2040;2040;2040
2022-04-16 00:00:00;2040;2040;2040
2022-04-16 00:15:00;2050;2050;2050
2022-04-16 00:30:00;2050;2050;2050
2022-04-16 00:45:00;2050;2050;2050
2022-04-16 01:00:00;2050;2050;2050
2022-04-16 01:15:00;2050;2050;2050
2022-04-16 01:30:00;2050;2050;2050
2022-04-16 01:45:00;2050;2050;2050
2022-04-16 02:00:00;2050;2050;2050
2022-04-16 02:15:00;2050;2050;2050
2022-04-16 02:30:00;2050;2050;2050
2022-04-16 02:45:00;2050;2040;2050
2022-04-16 03:00:00;2040;2040;2040
2022-04-16 03:15:00;2040;2040;2040
2022-04-16 03:30:00;2040;2040;2040
2022-04-16 03:45:00;2040;2030;2040
2022-04-16 04:00:00;2030;2030;2030
2022-04-16 04:15:00;2030;2030;2030
2022-04-16 04:30:00;2030;2030;2030
2022-04-16 04:45:00;2030;2020;2030
2022-04-16 05:00:00;2030;2020;2030
2022-04-16 05:15:00;2020;2020;2020
2022-04-16 05:30:00;2020;2020;2020
2022-04-16 05:45:00;2020;2010;2020
2022-04-16 06:00:00;2020;2010;2020
2022-04-16 06:15:00;2020;2010;2020
2022-04-16 06:30:00;2020;2010;2020
2022-04-16 06:45:00;2020;2010;2020
2022-04-16 07:00:00;2020;2010;2020
2022-04-16 07:15:00;2020;2010;2020
2022-04-16 07:30:00;2020;2000;2030
2022-04-16 07:45:00;2020;2000;2030
2022-04-16 08:00:00;2020;2000;2040
2022-04-16 08:15:00;2030;2000;2040
2022-04-16 08:30:00;2030;2000;2050
2022-04-16 08:45:00;2030;2000;2050
2022-04-16 09:00:00;2040;2000;2060
2022-04-16 09:15:00;2040;2000;2060
2022-04-16 09:30:00;2040;2000;2070
2022-04-16 09:45:00;2050;2000;2080
2022-04-16 10:00:00;2050;2000;2080
2022-04-16 10:15:00;2050;2000;2090
2022-04-16 10:30:00;2050;2000;2100
2022-04-16 10:45:00;2060;1990;2100
2022-04-16 11:00:00;2060;1990;2110
2022-04-16 11:15:00;2060;1990;2110
2022-04-16 11:30:00;2060;1990;2120
2022-04-16 11:45:00;2060;1990;2120
2022-04-16 12:00:00;2060;1990;2120
2022-04-16 12:15:00;2060;1990;2130
2022-04-16 12:30:00;2060;1980;2130
2022-04-16 12:45:00;2060;1980;2130
2022-04-16 13:00:00;2060;1980;2130
2022-04-16 13:15:00;2060;1970;2130
2022-04-16 13:30:00;2060;1970;2130
2022-04-16 13:45:00;2060;1970;2130
2022-04-16 14:00:00;2050;1960;2130
2022-04-16 14:15:00;2050;1960;2130
2022-04-16 14:30:00;2050;1960;2130
2022-04-16 14:45:00;2050;1950;2130
2022-04-16 15:00:00;2050;1950;2130
2022-04-16 15:15:00;2040;1950;2120
2022-04-16 15:30:00;2040;1940;2120
2022-04-16 15:45:00;2040;1940;2120
2022-04-16 16:00:00;2040;1940;2120
2022-04-16 16:15:00;2030;1930;2120
2022-04-16 16:30:00;2030;1930;2120
2022-04-16 16:45:00;2030;1930;2120
2022-04-16 17:00:00;2030;1920;2110
2022-04-16 17:15:00;2030;1920;2110
2022-04-16 17:30:00;2020;1920;2110
2022-04-16 17:45:00;2020;1920;2110
2022-04-16 18:00:00;2020;1910;2110
2022-04-16 18:15:00;2020;1910;2110
2022-04-16 18:30:00;2020;1910;2110
2022-04-16 18:45:00;2020;1910;2110
2022-04-16 19:00:00;2020;1910;2110
2022-04-16 19:15:00;2020;1900;2110
2022-04-16 19:30:00;2020;1900;2110
2022-04-16 19:45:00;2020;1900;2110
2022-04-16 20:00:00;2020;1900;2110
2022-04-16 20:15:00;2020;1900;2110
2022-04-16 20:30:00;2010;1890;2110
2022-04-16 20:45:00;2010;1890;2110
2022-04-16 21:00:00;2010;1890;2110
2022-04-16 21:15:00;2010;1890;2110
2022-04-16 21:30:00;2010;1880;2110
2022-04-16 21:45:00;2010;1880;2100
2022-04-16 22:00:00;2010;1880;2100
2022-04-16 22:15:00;2010;1880;2100
2022-04-16 22:30:00;2000;1870;2100
2022-04-16 22:45:00;2000;1870;2100
2022-04-16 23:00:00;2000;1870;2100
2022-04-16 23:15:00;2000;1860;2100
2022-04-16 23:30:00;2000;1860;2090
2022-04-16 23:45:00;2000;1860;2090
2022-04-17 00:00:00;1990;1850;2090
2022-04-17 00:15:00;1990;1850;2090
2022-04-17 00:30:00;1990;1850;2080
2022-04-17 00:45:00;1990;1840;2080
2022-04-17 01:00:00;1990;1840;2080
2022-04-17 01:15:00;1980;1840;2080
2022-04-17 01:30:00;1980;1830;2070
2022-04-17 01:45:00;1980;1830;2070
2022-04-17 02:00:00;1980;1830;2070
2022-04-17 02:15:00;1980;1820;2070
2022-04-17 02:30:00;1980;1820;2070
2022-04-17 02:45:00;1970;1820;2060
2022-04-17 03:00:00;1970;1810;2060
2022-04-17 03:15:00;1970;1810;2060
2022-04-17 03:30:00;1970;1810;2060
2022-04-17 03:45:00;1970;1810;2060
2022-04-17 04:00:00;1970;1800;2060
2022-04-17 04:15:00;1970;1800;2060
2022-04-17 04:30:00;1970;1800;2060
2022-04-17 04:45:00;1970;1800;2060
2022-04-17 05:00:00;1970;1790;2060
2022-04-17 05:15:00;1960;1790;2060
2022-04-17 05:30:00;1960;1790;2060
2022-04-17 05:45:00;1960;1790;2060
2022-04-17 06:00:00;1960;1780;2060
2022-04-17 06:15:00;1960;1780;2060
2022-04-17 06:30:00;1960;1780;2060
2022-04-17 06:45:00;1960;1780;2060
2022-04-17 07:00:00;1960;1770;2050
2022-04-17 07:15:00;1950;1770;2050
2022-04-17 07:30:00;1950;1770;2050
2022-04-17 07:45:00;1950;1770;2050
2022-04-17 08:00:00;1950;1760;2050
2022-04-17 08:15:00;1950;1760;2050
2022-04-17 08:30:00;1940;1760;2050
2022-04-17 08:45:00;1940;1760;2040
2022-04-17 09:00:00;1940;1750;2040
2022-04-17 09:15:00;1940;1750;2040
2022-04-17 09:30:00;1930;1750;2040
2022-04-17 09:45:00;1930;1740;2030
2022-04-17 10:00:00;1930;1740;2030
2022-04-17 10:15:00;1920;1740;2030
2022-04-17 10:30:00;1920;1730;2030
2022-04-17 10:45:00;1910;1730;2020
2022-04-17 11:00:00;1910;1730;2020
2022-04-17 11:15:00;1910;1720;2020
2022-04-17 11:30:00;1900;1720;2020
2022-04-17 11:45:00;1900;1720;2010
2022-04-17 12:00:00;1900;1710;2010
2022-04-17 12:15:00;1890;1710;2010
2022-04-17 12:30:00;1890;1710;2010
2022-04-17 12:45:00;1890;1700;2010
2022-04-17 13:00:00;1880;1700;2000
2022-04-17 13:15:00;1880;1700;2000
2022-04-17 13:30:00;1880;1700;2000
2022-04-17 13:45:00;1880;1690;2000
2022-04-17 14:00:00;1870;1690;2000
2022-04-17 14:15:00;1870;1690;2000
2022-04-17 14:30:00;1870;1690;2000
2022-04-17 14:45:00;1870;1680;2000
2022-04-17 15:00:00;1860;1680;2000
2022-04-17 15:15:00;1860;1680;1990
2022-04-17 15:30:00;1860;1680;1990
2022-04-17 15:45:00;1860;1670;1990
2022-04-17 16:00:00;1860;1670;1990
2022-04-17 16:15:00;1850;1670;1990
2022-04-17 16:30:00;1850;1670;1990
2022-04-17 16:45:00;1850;1670;1990
2022-04-17 17:00:00;1850;1660;1990
2022-04-17 17:15:00;1850;1660;1990
2022-04-17 17:30:00;1850;1660;1990
2022-04-17 17:45:00;1850;1660;1990
2022-04-17 18:00:00;1840;1660;1990
